,nombre,Ciudad,Departamento,Pais,descripcion,latitud,longitud
179,Angus Azul,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1308507,-75.38034979999999
180,RESTAURANTE RAPIPOLLO,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante</span>",6.1178157,-75.3893003
181,Finca Villaura,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1774868,-75.3775947
182,RESTAURANTE BAR NOA NOA,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante</span>",6.128742,-75.3797688
183,Pizzería la Malagueña,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Restaurante, Italiana</span>",6.1529658,-75.409615
184,LUCIANA,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1479297,-75.3829552
185,Comidas El Caleñito,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>",6.155995,-75.374229
186,Comidas Rápidas Deli Provocación,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>",6.147954899999999,-75.38612599999999
187,Kokoriko,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>",6.1535724,-75.37373649999999
188,Quesudos Qbrutales Rionegro,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1489351,-75.3883741
189,Supermercado Don Santa,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.15295,-75.36360499999999
190,Ole Restaurante Español,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar</span>",6.1275903,-75.4236128
191,GOLDEN BURGUER - COMIDAS RAPIDAS / MALL - LAS DELICIAS -/ SECTOR HELICOPTERO.,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Comida rápida</span>",6.1524481,-75.4112713
192,Krazzy Empanada,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>",6.1486374,-75.3875182
193,Restaurante El Encanto,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.153226,-75.372862
194,Comidas Rápidas LOS PITUFOS,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.152890999999999,-75.3636461
195,Gualanday,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1350044,-75.383912
196,Rancho Llanogrande,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Barbacoa</span>",6.133463,-75.42837349999999
197,Pollos Asados Mario,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Comida rápida</span>",6.153127899999999,-75.3733735
198,Restaurant Arroz Paisa,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1559748,-75.372704
199,Pollos Mario,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1468751,-75.3796394
200,La Champagneria,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar</span>",6.125235699999999,-75.4232652
