nombre,Ciudad,Departamento,Pais,descripcion
Mar y Fuego Restaurante - Bar,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante</span>"
Hamburguesas Rionegro | Qsollados,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
La Pizarra Gourmet “Bar & Grill”,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Barbacoa, Pub y bar, Restaurante</span>"
Rollings Deluxe,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Comidas Rápidas El Cucho,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Veggiverso,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Vegetarianos</span>"
Haré Pa' Tu Gusto,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
El rancho de Juanda,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Helga Pizzeria & La Terraza Bar - La Ceja,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Pizzería, Restaurante</span>"
Sr PIG,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
NUNKI WINGS,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Asados Doña Rosa,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Barbacoa</span>"
Fonda La Mariana,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Asadero Rapi Pollo,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Simon Panadero,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Cafeteria y restaurante Coffee Break,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Coffee houses, Restaurante, Cafetería</span>"
Pataconia,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Beijing Yue Yuan,Rionegro,Antioquia,Colombia,"<span class=""grey""> / China</span>"
Banquetes La Porteñita,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
BEEF PARRILLA PORVENIR,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla</span>"
