nombre,Ciudad,Departamento,Pais,Descripcion,latitud,longitud
Quesudos Qbrutales Rionegro,Rionegro,Antioquia,Colombia, Restaurante,6.1489351,-75.3883741
Supermercado Don Santa,Rionegro,Antioquia,Colombia, Restaurante,6.15295,-75.363605
Ole Restaurante Español,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar",6.1275903,-75.4236128
GOLDEN BURGUER - COMIDAS RAPIDAS / MALL - LAS DELICIAS -/ SECTOR HELICOPTERO.,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1524481,-75.4112713
Krazzy Empanada,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.1486374,-75.3875182
Restaurante El Encanto,Rionegro,Antioquia,Colombia, Restaurante,6.153226,-75.372862
Comidas Rápidas LOS PITUFOS,Rionegro,Antioquia,Colombia, Restaurante,6.152891,-75.3636461
Gualanday,Rionegro,Antioquia,Colombia, Restaurante,6.1350044,-75.383912
Rancho Llanogrande,Rionegro,Antioquia,Colombia," Restaurante, Barbacoa",6.133463,-75.4283735
Pollos Asados Mario,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1531279,-75.3733735
Restaurant Arroz Paisa,Rionegro,Antioquia,Colombia, Restaurante,6.1559748,-75.372704
Pollos Mario,Rionegro,Antioquia,Colombia, Restaurante,6.1468751,-75.3796394
La Champagneria,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar",6.1252357,-75.4232652
Asados El Blason,Rionegro,Antioquia,Colombia," Restaurante, Barbacoa",6.1480762,-75.3860912
Pizzas Del Bosque,Rionegro,Antioquia,Colombia," Pizzería, Restaurante",6.1366094,-75.3916618
FIREHOUSE,Rionegro,Antioquia,Colombia, Restaurante,6.1250257,-75.4218841
Mar Y Fruta Mariscos,Rionegro,Antioquia,Colombia," Marisco, Restaurante",6.138581,-75.38501
Asados Bar Discoteca El Potrero,Rionegro,Antioquia,Colombia," Club, Pub y bar, Comida rápida, Restaurante",6.129565,-75.380761
Fonda La Gotera,Rionegro,Antioquia,Colombia," Restaurante, Barbacoa",6.1296087,-75.3804712
Restaurante Picnic Pancho Villa Sancochos Y Asados 4G,Rionegro,Antioquia,Colombia, Restaurante,6.1619996,-75.4154657
Restaurante Ahi Picante,Rionegro,Antioquia,Colombia, Restaurante,6.14116,-75.377193
La Bagatelle Llanogrande,Rionegro,Antioquia,Colombia, Restaurante,6.1273585,-75.4151958
Distribuidora de Lácteos Betania,Rionegro,Antioquia,Colombia, Restaurante,6.157822,-75.37403
Q2 más que queso Rionegro (El Porvenir),Rionegro,Antioquia,Colombia, Restaurante,6.1491669,-75.3680317
Burger King Aeropuerto JMC,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.1703,-75.4279822
Restaurante Riky Pollo,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.157238,-75.370543
Comidas Rápidas Charkumax,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.146879,-75.386292
CUATRO GRADOS,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante, Pub y bar",6.1385785,-75.384894
Pollo Express,Rionegro,Antioquia,Colombia, Restaurante,6.1455192,-75.3793334
The Grill Station Burger,Rionegro,Antioquia,Colombia," Barbacoa, Restaurante",6.1244412,-75.4209003
Q2 más que queso Rionegro (Santa Ana),Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.1491669,-75.3680317
Pizzas Piccolo,Rionegro,Antioquia,Colombia," Restaurante, Pizzería",6.1153394,-75.4169918
